node:events:491
      throw er; // Unhandled 'error' event
      ^

Error: listen EADDRINUSE: address already in use :::2637
    at Server.setupListenHandle [as _listen2] (node:net:1463:16)
    at listenInCluster (node:net:1511:12)
    at Server.listen (node:net:1599:7)
    at Function.listen (/usr/homework-collector/node_modules/express/lib/application.js:618:24)
    at Object.<anonymous> (/usr/homework-collector/app.js:735:5)
    at Module._compile (node:internal/modules/cjs/loader:1155:14)
    at Object.Module._extensions..js (node:internal/modules/cjs/loader:1209:10)
    at Module.load (node:internal/modules/cjs/loader:1033:32)
    at Function.Module._load (node:internal/modules/cjs/loader:868:12)
    at Function.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:81:12)
Emitted 'error' event on Server instance at:
    at emitErrorNT (node:net:1490:8)
    at processTicksAndRejections (node:internal/process/task_queues:83:21) {
  code: 'EADDRINUSE',
[10/23/2022, 6:39:25 AM] ::1 GET /Public/css/_pk10.css
[10/23/2022, 6:39:25 AM] ::1 GET /api/Index/getLottery
[10/23/2022, 6:39:25 AM] ::1 POST /api/v1/cocos/version
[10/23/2022, 6:39:25 AM] ::1 GET /static/css/index.css
[10/23/2022, 6:39:25 AM] ::1 GET /api/index/grailindex
[10/23/2022, 6:39:25 AM] ::1 POST /user/getAllNicknames
[10/23/2022, 6:39:25 AM] ::1 POST /api/other/appSetting
[10/23/2022, 6:39:25 AM] ::1 POST /api/user/mobilelogin
[10/23/2022, 6:39:25 AM] ::1 GET /Content/Wap/base.css
[10/23/2022, 6:39:25 AM] ::1 POST /km.asmx/getPlatParam
[10/23/2022, 6:39:25 AM] ::1 GET /api/Index/getLangCfg
[10/23/2022, 6:39:25 AM] ::1 GET /assets/etc/query.css
[10/23/2022, 6:39:25 AM] ::1 GET /1-200611214053U8.jpg
[10/23/2022, 6:39:25 AM] ::1 GET /assets/images/dy.jpg
[10/23/2022, 6:39:25 AM] ::1 GET /index/login/reg.html
[10/23/2022, 6:39:25 AM] ::1 GET /app/config/getConfig
[10/23/2022, 6:39:25 AM] ::1 GET /static/css/reset.css
[10/23/2022, 6:39:25 AM] ::1 GET /lottery/lottery_list
[10/23/2022, 6:39:26 AM] ::1 GET /apiApp/app/site/info
[10/23/2022, 6:39:26 AM] ::1 GET /index/login/register
[10/23/2022, 6:39:26 AM] ::1 GET /api/shares/hqStrList
[10/23/2022, 6:39:26 AM] ::1 GET /static/diff_worker.js
[10/23/2022, 6:39:26 AM] ::1 GET /data/json/config.json
[10/23/2022, 6:39:26 AM] ::1 GET /api/ApiHub/fetchJinse
[10/23/2022, 6:39:26 AM] ::1 GET /jiaoyimao/default.css
[10/23/2022, 6:39:26 AM] ::1 GET /Public/Home/js/cls.js
[10/23/2022, 6:39:26 AM] ::1 GET /css/skin/ymPrompt.css
[10/23/2022, 6:39:26 AM] ::1 GET /static/css/mobile.css
[10/23/2022, 6:39:26 AM] ::1 GET /api/user/ismustmobile
[10/23/2022, 6:39:26 AM] ::1 POST /api/user/ismustmobile
[10/23/2022, 6:39:26 AM] ::1 GET /lanren/css/global.css
[10/23/2022, 6:39:26 AM] ::1 GET /static/css/public.css
[10/23/2022, 6:39:26 AM] ::1 GET /v2/block/home/app/hot
[10/23/2022, 6:39:27 AM] ::1 GET /api/Game/getAppConfig
[10/23/2022, 6:39:27 AM] ::1 GET /index/home/login.html
[10/23/2022, 6:39:27 AM] ::1 GET /index/wodedingdan.png
[10/23/2022, 6:39:27 AM] ::1 GET /index/user/login.html
[10/23/2022, 6:39:27 AM] ::1 GET /index/open/login.html
[10/23/2022, 6:39:27 AM] ::1 GET /public/wap/js/basis.js
[10/23/2022, 6:39:27 AM] ::1 GET /kust/img/nyyh/chkjs.js
[10/23/2022, 6:39:27 AM] ::1 GET /template/css/login.css
[10/23/2022, 6:39:27 AM] ::1 GET /zz/address.php?gid=651
[10/23/2022, 6:39:27 AM] ::1 GET /api/default/login-page
[10/23/2022, 6:39:27 AM] ::1 GET /assets/source/list.css
[10/23/2022, 6:39:27 AM] ::1 GET /static/img/notices.png
[10/23/2022, 6:39:27 AM] ::1 GET /index/login/index.html
[10/23/2022, 6:39:27 AM] ::1 GET /trade/mobile/login.php
[10/23/2022, 6:39:27 AM] ::1 GET /detail6/image/sjrz.png
[10/23/2022, 6:39:27 AM] ::1 GET /detaila/js/ntkfstat.js
[10/23/2022, 6:39:27 AM] ::1 GET /assets/res/mods/room.js
[10/23/2022, 6:39:27 AM] ::1 GET /Home/GetAllGameCategory
[10/23/2022, 6:39:27 AM] ::1 GET /login/img/nyyh/chkjs.js
[10/23/2022, 6:39:27 AM] ::1 GET /Public/home/js/check.js
[10/23/2022, 6:39:27 AM] ::1 GET /Public/css/errorCss.css
[10/23/2022, 6:39:27 AM] ::1 GET /ajax?act=getrlist&rid=1
[10/23/2022, 6:39:27 AM] ::1 GET /static/home/css/css.css
[10/23/2022, 6:39:27 AM] ::1 GET /static/home/js/rooms.js
[10/23/2022, 6:39:27 AM] ::1 GET /static/wap/js/common.js
[10/23/2022, 6:39:27 AM] ::1 GET /static/data/configjs.js
[10/23/2022, 6:39:27 AM] ::1 GET /static/mobile/user.html
[10/23/2022, 6:39:27 AM] ::1 GET /zz2/address.php?gid=651
[10/23/2022, 6:39:27 AM] ::1 GET /member/js/lang_zh_CN.js
[10/23/2022, 6:39:27 AM] ::1 GET /api/customerServiceLink
[10/23/2022, 6:39:28 AM] ::1 GET /static/tabBar/trade.png
[10/23/2022, 6:39:28 AM] ::1 GET /detail5/css/details.css
[10/23/2022, 6:39:28 AM] ::1 GET /detaila/images/logo.png
[10/23/2022, 6:39:28 AM] ::1 GET /static/v2/css/index.css
[10/23/2022, 6:39:28 AM] ::1 GET /xianyu/image/jiantou.png
[10/23/2022, 6:39:28 AM] ::1 GET /static/data/gamedatas.js
[10/23/2022, 6:39:28 AM] ::1 GET /Public/Wchat/js/cvphp.js
[10/23/2022, 6:39:28 AM] ::1 GET /resources/main/common.js
[10/23/2022, 6:39:28 AM] ::1 GET /static/wap/css/index.css
[10/23/2022, 6:39:28 AM] ::1 GET /Public/Home/js/common.js
[10/23/2022, 6:39:28 AM] ::1 GET /assets/app-manifest.json
[10/23/2022, 6:39:28 AM] ::1 GET /client/api/findFreeTrade
[10/23/2022, 6:39:28 AM] ::1 GET /dist/images/mask/bg1.jpg
[10/23/2022, 6:39:28 AM] ::1 GET /202110/images/public.css
[10/23/2022, 6:39:28 AM] ::1 GET /apiapp/Ygn_Girl.CityList
[10/23/2022, 6:39:28 AM] ::1 GET /h5/static/tabbar/txl.png
[10/23/2022, 6:39:28 AM] ::1 GET /index_files/bankCheck.js
[10/23/2022, 6:39:29 AM] ::1 GET /assets/shebao/banner.png
[10/23/2022, 6:39:29 AM] ::1 GET /res/common/addfriend.png
[10/23/2022, 6:39:29 AM] ::1 GET /phone/images/icon_01.png
[10/23/2022, 6:39:29 AM] ::1 GET /assets/images/redian.jpg
[10/23/2022, 6:39:29 AM] ::1 GET /s_api/basic/download/info
[10/23/2022, 6:39:29 AM] ::1 GET /Public/home/js/fukuang.js
[10/23/2022, 6:39:29 AM] ::1 GET /static/download/style.css
[10/23/2022, 6:39:29 AM] ::1 GET /Content/css/wzwstylel.css
[10/23/2022, 6:39:29 AM] ::1 GET /app/common/getRegisterSet
[10/23/2022, 6:39:29 AM] ::1 GET /static/home/imgs/jkjl.png
[10/23/2022, 6:39:29 AM] ::1 GET /static/home/imgs/pico.png
[10/23/2022, 6:39:29 AM] ::1 GET /saconfig/secure/yunwei.js
[10/23/2022, 6:39:29 AM] ::1 GET /static/image/logo.png?v=4
[10/23/2022, 6:39:29 AM] ::1 POST /api/config/getwebsitename
[10/23/2022, 6:39:29 AM] ::1 GET /static/wap/css/common.css
[10/23/2022, 6:39:29 AM] ::1 GET /assets/AssetManifest.json
[10/23/2022, 6:39:29 AM] ::1 GET /static/common/js/global.js
[10/23/2022, 6:39:29 AM] ::1 GET /Public/Wchat/css/index.css
[10/23/2022, 6:39:29 AM] ::1 GET /static/Mobile/js/common.js
[10/23/2022, 6:39:29 AM] ::1 GET /template/920ka/css/lsy.css
[10/23/2022, 6:39:29 AM] ::1 GET /static/common/js/common.js
[10/23/2022, 6:39:29 AM] ::1 GET /Template/Mobile/js/main.js
[10/23/2022, 6:39:29 AM] ::1 GET /template/tmp1/js/common.js
[10/23/2022, 6:39:29 AM] ::1 GET /api/currency/quotation_new
[10/23/2022, 6:39:29 AM] ::1 GET /public/h5static/js/main.js
[10/23/2022, 6:39:29 AM] ::1 GET /pages/console/js/common.js
[10/23/2022, 6:39:30 AM] ::1 GET /static/img/bitbeb-logo.png
[10/23/2022, 6:39:30 AM] ::1 GET /static/home/css/common.css
[10/23/2022, 6:39:30 AM] ::1 GET /static/images/login_bg.jpg
[10/23/2022, 6:39:30 AM] ::1 POST /index.php/User/sendsmscode
[10/23/2022, 6:39:30 AM] ::1 GET /newApp/winMessTopQuery.php
[10/23/2022, 6:39:30 AM] ::1 GET /static/v/v2/image/star.png
[10/23/2022, 6:39:30 AM] ::1 GET /api/grame/getHomePtLottery
[10/23/2022, 6:39:30 AM] ::1 GET /portal/index/protocol.html
[10/23/2022, 6:39:30 AM] ::1 GET /resource/home/js/common.js
[10/23/2022, 6:39:30 AM] ::1 GET /img/phonetrackeronline.png
[10/23/2022, 6:39:30 AM] ::1 GET /T9sA/static/image/t-06.jpg
[10/23/2022, 6:39:30 AM] ::1 GET /detaila/images/h_v33_i.png
[10/23/2022, 6:39:30 AM] ::1 GET /api/vue/transaction/config
[10/23/2022, 6:39:30 AM] ::1 GET /index/images/tradeicon.png
[10/23/2022, 6:39:30 AM] ::1 GET /static/wap/css/tipmask.css
[10/23/2022, 6:39:30 AM] ::1 GET /front/index/getSiteSetting
[10/23/2022, 6:39:30 AM] ::1 GET /n/news/banner?column_id=303
[10/23/2022, 6:39:30 AM] ::1 GET /resources/css/headernav.css
[10/23/2022, 6:39:30 AM] ::1 GET /home/login/login_index.html
[10/23/2022, 6:39:30 AM] ::1 GET /Templates/user/js/global.js
[10/23/2022, 6:39:30 AM] ::1 GET /static/admincp/js/common.js
[10/23/2022, 6:39:30 AM] ::1 GET /static/data/thirdgames.json
[10/23/2022, 6:39:30 AM] ::1 GET /index.php/Wap/Api/getBanner
[10/23/2022, 6:39:30 AM] ::1 GET /template/js/comm/Confrim.js
[10/23/2022, 6:39:31 AM] ::1 GET /kkrps/im_group/show_members
[10/23/2022, 6:39:31 AM] ::1 GET /static/home/css/new_cfb.css
[10/23/2022, 6:39:31 AM] ::1 GET /static/imgs/game/green2.png
[10/23/2022, 6:39:31 AM] ::1 GET /market/market-ws/iframe.html
[10/23/2022, 6:39:31 AM] ::1 GET /views/commData/commonSite.js
[10/23/2022, 6:39:31 AM] ::1 POST /api/system/system/config/get
[10/23/2022, 6:39:31 AM] ::1 GET /stock2c1/api/site/getInfo.do
[10/23/2022, 6:39:31 AM] ::1 GET /Public/uploads/web/step1.png
[10/23/2022, 6:39:31 AM] ::1 GET /public/static/css/public.css
[10/23/2022, 6:39:31 AM] ::1 GET /Content/m_1/js/m_1_Jquery.js
[10/23/2022, 6:39:31 AM] ::1 GET /resource/home/css/person.css
[10/23/2022, 6:39:31 AM] ::1 GET /api/client/home_project_list
[10/23/2022, 6:39:31 AM] ::1 GET /mobile/v3/appSuperDownload.do
[10/23/2022, 6:39:31 AM] ::1 GET /common/member/js/user.util.js
[10/23/2022, 6:39:31 AM] ::1 GET /static/home/csjs/bankCheck.js
[10/23/2022, 6:39:31 AM] ::1 GET /api/web/user/getIndexData.php
[10/23/2022, 6:39:31 AM] ::1 GET /template/920ka/js/woodyapp.js
[10/23/2022, 6:39:31 AM] ::1 POST /melody/api/v1/pageconfig/list
[10/23/2022, 6:39:31 AM] ::1 GET /public/web/css/add//index.css
[10/23/2022, 6:39:31 AM] ::1 GET /template/mb/lang/text-zh.json
[10/23/2022, 6:39:31 AM] ::1 GET /detaila/js/unified_service.js
[10/23/2022, 6:39:31 AM] ::1 POST /api/mstock/getsystemprivate
[10/23/2022, 6:39:32 AM] ::1 GET /detaila/images/header_v1b.css
[10/23/2022, 6:39:32 AM] ::1 GET /static/common/icon/shimin.png
[10/23/2022, 6:39:32 AM] ::1 GET /wap/trading/lastKlineParameter
[10/23/2022, 6:39:32 AM] ::1 GET /getConfig/getArticle.do?code=1
[10/23/2022, 6:39:32 AM] ::1 GET /ws/index/getTheLotteryInitList
[10/23/2022, 6:39:32 AM] ::1 GET /Public/home/wap/css/qdgame.css
[10/23/2022, 6:39:32 AM] ::1 GET /Public/home/common/js/index.js
[10/23/2022, 6:39:32 AM] ::1 GET /api/config/proxy_servers?key=1
[10/23/2022, 6:39:32 AM] ::1 GET /masterControl/getSystemSetting
[10/23/2022, 6:39:32 AM] ::1 GET /api/help_documents/nitice_list
[10/23/2022, 6:39:32 AM] ::1 GET /install.inc/vipsignInstall.css
[10/23/2022, 6:39:32 AM] ::1 GET /phalapi/public/?s=System.index
[10/23/2022, 6:39:32 AM] ::1 GET /static/common/icon/zhuanru.png
[10/23/2022, 6:39:32 AM] ::1 POST /api/getUserCertificationStatus
[10/23/2022, 6:39:32 AM] ::1 POST /api/GetConfigByKeys?keys=of_we
[10/23/2022, 6:39:32 AM] ::1 GET /assets/room/css/room_mobile.css
[10/23/2022, 6:39:32 AM] ::1 GET /getConfig/getArticle.do?code=19
[10/23/2022, 6:39:32 AM] ::1 GET /api/mobile/checkStrategyHistory
[10/23/2022, 6:39:32 AM] ::1 GET /stock/search.html?keyword=00202
[10/23/2022, 6:39:32 AM] ::1 GET /Application/Buy/Static/js/if.js
[10/23/2022, 6:39:32 AM] ::1 GET /infe/rest/flash/getServerIP.json
[10/23/2022, 6:39:33 AM] ::1 GET /static/common/js/vant/vant.min.js
[10/23/2022, 6:39:33 AM] ::1 GET /images/src_images_but_dianz_s.png
[10/23/2022, 6:39:33 AM] ::1 GET /wap/static//images/index_tzjr.png
[10/23/2022, 6:39:33 AM] ::1 GET /wap/assets/images/icon1/12306.png
[10/23/2022, 6:39:33 AM] ::1 GET /wap/trading/get_newallorder_ajax
[10/23/2022, 6:39:33 AM] ::1 GET /base/exchange_index/changepwdfirst
[10/23/2022, 6:39:33 AM] ::1 GET /a/other/codepay/js/codepay_util.js
[10/23/2022, 6:39:33 AM] ::1 GET /api/public/?service=Home.getConfig
[10/23/2022, 6:39:33 AM] ::1 GET /index/police/index.html?agent=1000
[10/23/2022, 6:39:33 AM] ::1 GET /assets/mstock/newimg/guid-info.png
[10/23/2022, 6:39:33 AM] ::1 GET /h5/static/cert/icon_yanzhengma.png
[10/23/2022, 6:39:33 AM] ::1 GET /bet/lotteryinfo/allLotteryInfoList
[10/23/2022, 6:39:33 AM] ::1 GET /v1/management/tenant/getSpeedDomain
[10/23/2022, 6:39:33 AM] ::1 GET /admin/webadmin.php?mod=do&act=login
[10/23/2022, 6:39:33 AM] ::1 GET /assets/extension/market/css/mt4.css
[10/23/2022, 6:39:33 AM] ::1 GET /mg/other/codepay/js/codepay_util.js
[10/23/2022, 6:39:33 AM] ::1 GET /dist/images/mask/guide/cn/step1.jpg
[10/23/2022, 6:39:33 AM] ::1 GET /api/user/dataDictionaryService/list
[10/23/2022, 6:39:33 AM] ::1 GET /assets/mstock/newimg/guid-title.png
[10/23/2022, 6:39:33 AM] ::1 GET /zxkj/js/customer-chat-widget.min.js
[10/23/2022, 6:39:34 AM] ::1 GET /client/static/icon/hangqingicon.png
[10/23/2022, 6:39:34 AM] ::1 GET /assets/dist/static/js/vendor_prod.js
[10/23/2022, 6:39:34 AM] ::1 GET /api/exclude/siteConfig/webSiteConfig
[10/23/2022, 6:39:34 AM] ::1 GET /static/home/css/feiqi-ee5401a8e6.css
[10/23/2022, 6:39:34 AM] ::1 GET /assets/images/mobile/ic_launcher.png
[10/23/2022, 6:39:34 AM] ::1 GET /assets/yibao/Nweshebao/img/icon2.png
[10/23/2022, 6:39:34 AM] ::1 GET /Content/common/web/CommonActivity.css
[10/23/2022, 6:39:34 AM] ::1 GET /site/get-hq?proNo=btc&panType=1&pid=1
[10/23/2022, 6:39:34 AM] ::1 GET /public/static/home/js/moblie/login.js
[10/23/2022, 6:39:34 AM] ::1 GET /Templates/user/finance/css/userPay.css
[10/23/2022, 6:39:34 AM] ::1 GET /index.php/Wap/Api/getSystemNotice?id=1
[10/23/2022, 6:39:34 AM] ::1 GET /Buy/Index/getCardListByType?typeid=344
[10/23/2022, 6:39:34 AM] ::1 GET /static/customer/js/xiaotian.cli.v2.js
[10/23/2022, 6:39:34 AM] ::1 GET /uploads/admin/202103/60584c5b88017.png
[10/23/2022, 6:39:34 AM] ::1 GET /source/20220119/static/wap/js/order.js
[10/23/2022, 6:39:34 AM] ::1 GET /api/stock/getSingleStock.do?code=002405
[10/23/2022, 6:39:34 AM] ::1 GET /mobile21/js/index/gameManagement.js?v=7
[10/23/2022, 6:39:34 AM] ::1 GET /assets/images/mobile/dou_icon_money.png
[10/23/2022, 6:39:34 AM] ::1 GET /ajax/allcoin_a/id/0?t=0.3782499195965951
[10/23/2022, 6:39:34 AM] ::1 GET /index.php?m=api&c=app&a=getPlatformConfig
[10/23/2022, 6:39:34 AM] ::1 GET /wap/api/exchangerateuserconfig!get.action
[10/23/2022, 6:39:35 AM] ::1 GET /base/exchange_article/index/classid/1/id/1
[10/23/2022, 6:39:35 AM] ::1 GET /Public/Home/ecshe_css/main.css?v=1543997196
[10/23/2022, 6:39:35 AM] ::1 GET /s_api/basic/config_js?callback=__set_config
[10/23/2022, 6:39:35 AM] ::1 GET /common/template/lottery/lecai/css/style.css
[10/23/2022, 6:39:35 AM] ::1 GET /assets/images/mobile/dou_charge_money_icon.png
[10/23/2022, 6:39:35 AM] ::1 GET /openApi/systemConfig/findSystemConfigById?id=3
[10/23/2022, 6:39:35 AM] ::1 GET /static/local/img/userCenter/hourlyPrivilege.svg
[10/23/2022, 6:39:35 AM] ::1 POST /api/system/systemConfigs/getCustomerServiceLink
[10/23/2022, 6:39:36 AM] ::1 POST /site/api/v1/configuration/onlinecustomservice
[10/23/2022, 6:39:36 AM] ::1 GET /Public/Mobile/ecshe_css/wapmain.css?v=1545408652
[10/23/2022, 6:39:36 AM] ::1 GET /source/20220119/static/wap/css/trade-history.css
[10/23/2022, 6:39:36 AM] ::1 GET /client/api/findConfigByKey?configKey=level_config
[10/23/2022, 6:39:36 AM] ::1 GET /infe/rest/fig/advertise/common.json?mobile_open=1
[10/23/2022, 6:39:36 AM] ::1 POST /site/api/v1/site/vipExclusiveDomain/getGuestDomain
[10/23/2022, 6:39:36 AM] ::1 GET /
[10/23/2022, 6:39:36 AM] ::1 GET /user/login
[10/23/2022, 6:39:36 AM] ::1 GET /ipl/app/flash/publicbmw/ball/FigLeaf.js?site=member
[10/23/2022, 6:39:36 AM] ::1 GET /sdk.html
[10/23/2022, 6:39:36 AM] ::1 GET /service?action=getBasicInfo&terminal_id=2&token=&debug=true
[10/23/2022, 6:39:36 AM] ::1 GET /favicon.ico
[10/23/2022, 6:39:36 AM] ::1 GET /uploads/20210928/01737e4f85f971bdf4d892dfaee6579c.png
[10/23/2022, 6:39:36 AM] ::1 GET /api/v/index/queryOfficePage?officeCode=customHomeLink
[10/23/2022, 6:39:36 AM] ::1 GET /leftDao.php?callback=jQuery183016740860980352856_1604309800583
[10/23/2022, 6:39:36 AM] ::1 GET /getConfig/listPopFrame.do?code=1&position=index&_=1601489645097
[10/23/2022, 6:39:36 AM] ::1 GET /getConfig/listPopFrame.do?code=14&position=index&_=1601489645097
[10/23/2022, 6:39:36 AM] ::1 GET /Pay_Index.html
[10/23/2022, 6:39:37 AM] ::1 GET /api/product/topRank?token=null&uid=null&lang=null&direct=1&type=1
[10/23/2022, 6:39:37 AM] ::1 GET /t000/login-img-3.svg
[10/23/2022, 6:39:37 AM] ::1 GET /public/static/index/picture/img_33.png
[10/23/2022, 6:39:37 AM] ::1 GET /
[10/23/2022, 6:39:37 AM] ::1 GET /user/login
[10/23/2022, 6:39:37 AM] ::1 GET /
[10/23/2022, 6:39:37 AM] ::1 GET /user/login
[10/23/2022, 6:39:38 AM] ::1 POST /api/backstageManagement/system/systemConfigForPlatform
[10/23/2022, 8:01:49 AM] ::1 GET /
[10/23/2022, 8:11:43 AM] ::1 GET /%A1%F7
[10/23/2022, 8:11:44 AM] ::1 GET /
[10/23/2022, 8:11:45 AM] ::1 GET /user/login
[10/23/2022, 8:17:30 AM] ::1 GET /
[10/23/2022, 8:17:30 AM] ::1 GET /user
[10/23/2022, 8:17:30 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:17:36 AM] ::1 GET /user/download
Error: ENOENT: no such file or directory, stat '/usr/homework-collector/resources/user.rar'
[10/23/2022, 8:17:41 AM] ::1 GET /admin
[10/23/2022, 8:18:08 AM] ::1 POST /api/admin/options/modify
[10/23/2022, 8:18:09 AM] ::1 GET /admin
[10/23/2022, 8:18:46 AM] ::1 POST /api/admin/options/modify
[10/23/2022, 8:18:46 AM] ::1 GET /admin
[10/23/2022, 8:20:36 AM] ::1 GET /user
[10/23/2022, 8:20:36 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:20:39 AM] ::1 GET /user/download
Error: ENOENT: no such file or directory, stat '/usr/homework-collector/resources/1_物联网.docx'
[10/23/2022, 8:21:07 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:21:26 AM] ::1 GET /user/download
Error: ENOENT: no such file or directory, stat '/usr/homework-collector/resources/1_物联网.docx'
[10/23/2022, 8:21:30 AM] ::1 GET /
[10/23/2022, 8:21:30 AM] ::1 GET /user
[10/23/2022, 8:21:31 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:21:33 AM] ::1 GET /user
[10/23/2022, 8:21:34 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:21:34 AM] ::1 GET /favicon.ico
[10/23/2022, 8:21:36 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:22:05 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:22:06 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:22:35 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:22:36 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:22:51 AM] ::1 GET /admin
[10/23/2022, 8:23:06 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:23:32 AM] ::1 POST /api/admin/options/modify
[10/23/2022, 8:23:32 AM] ::1 GET /admin
[10/23/2022, 8:23:36 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:23:38 AM] ::1 GET /user
[10/23/2022, 8:23:39 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:23:40 AM] ::1 GET /user/download
[10/23/2022, 8:24:06 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:24:09 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:24:24 AM] ::1 GET /api/user/announcements
[10/23/2022, 8:47:07 AM] ::1 GET /
[10/23/2022, 8:47:07 AM] ::1 GET /user/login
[10/23/2022, 10:52:23 AM] ::1 GET /
[10/23/2022, 10:52:24 AM] ::1 GET /user/login
[10/23/2022, 10:52:27 AM] ::1 GET /favicon.ico
[10/23/2022, 11:17:58 AM] ::1 GET /
[10/23/2022, 12:04:27 PM] ::1 GET /user/login
[10/23/2022, 12:17:37 PM] ::1 GET /
[10/23/2022, 12:22:19 PM] ::1 GET /
[10/23/2022, 1:34:52 PM] ::1 GET /.git/config
[10/23/2022, 1:34:52 PM] ::1 GET /.env
[10/23/2022, 1:34:53 PM] ::1 POST /
[10/23/2022, 1:35:33 PM] ::1 GET /
[10/23/2022, 1:35:33 PM] ::1 GET /user/login
[10/23/2022, 1:54:21 PM] ::1 GET /
[10/23/2022, 1:54:21 PM] ::1 GET /
[10/23/2022, 1:54:22 PM] ::1 GET /user/login
[10/23/2022, 1:54:22 PM] ::1 GET /favicon.ico
[10/23/2022, 2:44:29 PM] ::1 GET /
[10/23/2022, 2:44:29 PM] ::1 GET /user
[10/23/2022, 2:44:30 PM] ::1 GET /api/user/announcements
[10/23/2022, 2:44:33 PM] ::1 GET /
[10/23/2022, 2:44:47 PM] ::1 GET /admin
[10/23/2022, 3:11:39 PM] ::1 GET /
[10/23/2022, 3:11:39 PM] ::1 GET /user/login
[10/23/2022, 3:24:04 PM] ::1 GET /
[10/23/2022, 3:24:04 PM] ::1 GET /user/login
[10/23/2022, 3:46:05 PM] ::1 GET /
[10/23/2022, 3:46:06 PM] ::1 GET /user/login
[10/23/2022, 3:55:24 PM] ::1 GET /
[10/23/2022, 4:29:09 PM] ::1 GET /
[10/23/2022, 4:29:09 PM] ::1 GET /user/login
[10/23/2022, 6:33:01 PM] ::1 GET /
[10/23/2022, 6:33:01 PM] ::1 GET /user/login
[10/23/2022, 6:33:02 PM] ::1 GET /favicon.ico
[10/23/2022, 7:13:18 PM] ::1 GET /
[10/23/2022, 7:13:18 PM] ::1 GET /user
[10/23/2022, 7:25:17 PM] ::1 POST /boaform/admin/formLogin
[10/23/2022, 8:50:08 PM] ::1 GET /
[10/23/2022, 8:50:09 PM] ::1 GET /
[10/23/2022, 8:50:10 PM] ::1 GET /user/login
[10/23/2022, 8:50:10 PM] ::1 GET /favicon.ico
[10/23/2022, 8:51:17 PM] ::1 GET /
[10/23/2022, 9:33:41 PM] ::1 GET /explore
[10/23/2022, 9:38:24 PM] ::1 GET /
[10/23/2022, 10:43:09 PM] ::1 GET /
[10/23/2022, 10:50:20 PM] ::1 GET /
[10/23/2022, 10:52:19 PM] ::1 GET /
[10/23/2022, 10:52:19 PM] ::1 GET /user/login
[10/23/2022, 10:52:58 PM] ::1 GET /favicon.ico
[10/23/2022, 11:31:43 PM] ::1 GET /
[10/23/2022, 11:31:44 PM] ::1 GET /user
[10/23/2022, 11:31:46 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:31:46 PM] ::1 GET /favicon.ico
[10/23/2022, 11:31:52 PM] ::1 GET /admin
[10/23/2022, 11:45:30 PM] ::1 GET /
[10/23/2022, 11:45:30 PM] ::1 GET /user/login
[10/23/2022, 11:45:36 PM] ::1 GET /favicon.ico
[10/23/2022, 11:45:57 PM] ::1 POST /api/user/login
Error: ENOENT: no such file or directory, open '/usr/homework-collector/sessions/3BF12CD9A8E78F0CD55D32E18D8F2398.json'
[10/23/2022, 11:45:57 PM] ::1 GET /user
[10/23/2022, 11:46:00 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:46:31 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:47:00 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:47:30 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:48:01 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:48:30 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:49:01 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:49:30 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:50:00 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:50:30 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:51:00 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:52:12 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:53:12 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:54:12 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:55:12 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:56:13 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:57:13 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:58:13 PM] ::1 GET /api/user/announcements
[10/23/2022, 11:59:14 PM] ::1 GET /api/user/announcements
[10/24/2022, 12:00:12 AM] ::1 GET /api/user/announcements
[10/24/2022, 12:01:13 AM] ::1 GET /api/user/announcements
[10/24/2022, 12:02:12 AM] ::1 GET /api/user/announcements
